id,name,latitude,longitude,dpcapacity,dateCreated
43,Michigan Ave & Washington St,41.88389277,-87.62464914,43,16-06-2013
44,State St & Randolph St,41.8847302,-87.62773357,27,16-06-2013
33,State St & Van Buren St,41.877181,-87.627844,27,25-06-2013
199,Wabash Ave & Grand Ave,41.891738,-87.626937,15,10-08-2013
51,Clark St & Randolph St,41.88457623,-87.63188991,31,17-06-2013
98,LaSalle St & Washington St,41.882664,-87.63253,15,15-07-2013
286,Franklin St & Quincy St,41.878724,-87.634793,23,14-09-2013
90,Millennium Park,41.8810317,-87.62408432,35,16-06-2013
50,Clark St & Congress Pkwy,41.87593267,-87.63058454,27,16-06-2013
91,Clinton St & Washington Blvd,41.88338,-87.64117,31,27-06-2013
192,Canal St & Adams St,41.878948,-87.63975,39,07-08-2013
48,Larrabee St & Kingsbury St,41.897764,-87.642884,27,16-06-2013
100,Orleans St & Merchandise Mart Plaza,41.888243,-87.63639,23,16-07-2013
106,State St & Pearson St,41.897448,-87.628722,27,01-08-2013
211,St Clair St & Erie St,41.894448,-87.622663,19,15-08-2013
31,Franklin St & Chicago Ave,41.89680204,-87.63563839,23,22-06-2013
36,Franklin St & Jackson Blvd,41.87770796,-87.63532114,31,15-06-2013
37,Dearborn St & Adams St,41.87935636,-87.62979104,19,16-06-2013
66,Clinton St & Lake St,41.88583274,-87.64138231,19,20-06-2013
35,Streeter Dr & Illinois St,41.891071,-87.6122,39,05-08-2013
81,Daley Center Plaza,41.884163,-87.629635,39,13-06-2013
58,Marshfield Ave & Cortland St,41.916017,-87.668879,19,18-06-2013
344,Wolcott Ave & Lawrence Ave,41.968641,-87.676335,15,09-10-2013
108,Halsted St & Polk St,41.87184,-87.64664,19,06-08-2013
109,900 W Harrison,41.874675,-87.650019,19,06-08-2013
97,Museum Campus,41.865212,-87.617759,35,26-06-2013
5,State St & Harrison St,41.87395806,-87.62773949,19,18-06-2013
59,Wabash Ave & Roosevelt Rd,41.867173,-87.62595501,19,18-06-2013
283,LaSalle St & Jackson Blvd,41.87817,-87.631985,23,14-09-2013
84,Green St & Milwaukee Ave,41.891733,-87.648727,19,26-06-2013
25,Michigan Ave & Pearson St,41.89766,-87.62351,23,22-06-2013
197,Michigan Ave & Madison St,41.882134,-87.625125,19,10-08-2013
68,Clinton St & Tilden St,41.875885,-87.640795,23,24-06-2013
73,Jefferson St & Monroe St,41.880422,-87.642746,19,27-06-2013
56,Desplaines St & Kinzie St,41.88871604,-87.64444785,19,17-06-2013
