ReviewText,ReviewDate,ReviewAuthor,ReviewStarRating,Review Link
"Best car in its segment. Excellent drivability, superb engine, amazing ergonomics, wonderful comfort, and humongous space. The car is a total package of comfort and performance. Seats are adjustable for both driver and front passenger side. Loads of legroom for the rear passengers. Excellent boot space. Better buy than Jeep Compass or Hyundai Creta...Read More"," Dec 04, 2019 ",By Megh Rishi,5.0,NA
"Kia as soon as it landed in India came with a bang for the buck competing with its sister company Hyundai's Creta, the Jeep Compass and the MG Hector which again was recently launched. Seltos gave us a variety of features with 2 lineups total of 5 variants that can suit your choice and has premium features."," Dec 03, 2019 ",By Carlocity India,5.0,https://www.cardekho.com/user-review/kia-seltos/the-turning-point-of-suv-in-indian-market-95342.htm
"Purchase it and feel the difference.
Features loaded car beyond expectations. Wonderful engine, superb interior with amazing quality, fabulous fit, and world-class finish."," Dec 04, 2019 ",By Ig Bhullar,5.0,https://www.cardekho.com/user-review/kia-seltos/purchase-it-and-feel-the-difference-95520.htm
"A very nice car with bose speakers, which is not available in other cars in its segment. Worth buying it. This car is spacious, safe, powerful. This car comes with 6 airbags, sufficient boot space, and sunroof. Ambient mood lighting gives a luxurious and soothing experience."," Dec 03, 2019 ",By Rajat Mani Bhardwaj,4.0,https://www.cardekho.com/user-review/kia-seltos/nice-car-with-best-in-class-features-95382.htm
"We brought the Kia Seltos HTK in petrol 2 months ago and the car is fabulous. You get all the features even in the base variant. You name it and its there. It has a 6 speaker JBL music system, an intelligent MID projector setup for both headlamps and foglamps. It is a very nice car and you should buy it instead of its rivals. However, spare parts a...Read More"," Dec 03, 2019 ",By Siddharth Bazad,5.0,NA
"I felt very glad by its modern advanced technology and innovative design still, it's so smart due to Long-Durability, Safe, Secure and Lightweight. It's one of my favorite cars known for ""Kia Seltos"", we would feel simple by architecture style ever."," Dec 03, 2019 ",By Idream Tech,5.0,https://www.cardekho.com/user-review/kia-seltos/architecture-style-95348.htm
"Kia has debuted in the Indian car market by launching a great car Seltos. Though based upon Hyundai Creta, yet many steps ahead of the techology, comfort, styling ride and handling. I think mileage could be a negative aspect. Still, it's a great car."," Dec 02, 2019 ",By Sunder Chettiyar,5.0,https://www.cardekho.com/user-review/kia-seltos/excellent-experience-95335.htm
"Very comfortable car.
This car has a very comfortable sitting arrangement and a very good leg space."," Dec 03, 2019 ",By Anil Seervi,5.0,https://www.cardekho.com/user-review/kia-seltos/very-comfortable-car-95384.htm
"Awesome looks.
To be very honest this SUV has a sporty look and as per the company, it has a thrilling design, including the interior. Highly recommended."," Dec 03, 2019 ",By Piyush,4.0,https://www.cardekho.com/user-review/kia-seltos/awesome-looks-95370.htm
"Best car for this year.
This car is delivering a very good performance. Great looks."," Dec 02, 2019 ",By Rascal Trends,5.0,https://www.cardekho.com/user-review/kia-seltos/best-car-for-this-year-95301.htm
"Best SUV car of the era.
Kia Seltos became one of the best prime SUV cars of this era in India. The car has a best-finished premium looking with ultimate build quality till now in the Indian car market. In this price range, it gives many loaded features as follows:  1. It has a 360-degree camera. 2. Both front and rear parking assistance are given. 3. Has an adequate bo...Read More"," Dec 02, 2019 ",By Anonymous,5.0,https://www.cardekho.com/user-review/kia-seltos/best-suv-car-of-the-era-95257.htm
"I brought Seltos HTX one week back. This is my 6th car following Innova Crysta, XUV500, Duster, Honda City, and Dzire. I can safely say that this is the best overall car in this price range presently. This car is a near-perfect vehicle by many angles. Its design is fantastic, looks are fantastic, features are amazing, refinement is excellent, NVH levels are superb, ride quality is superb and easily comparable to my Innova Crysta. Diesel manual mileage is excellent, seat comfort is superb. The back seat of this vehicle occupies 3 people comfortably. Boot space has enough space for the luggage of five people for a short trip. I drove this vehicle on really ugly Bhokar-Nanded road of Maharashtra (bad would be a word for this road at present which I think) and I can assure you that , this vehicle has one of the best ride quality which can be easily comparable to my Innova Crysta in terms of ride quality. Seltos is breeze to drive. I drove the petrol GT line also for short distances, and it is also a great variant to own. You can go for either variant as per your needs and choice. Both variants are great. Diesel is giving me 17kmpl overall at present for 60% highway and 40% city drive with AC 100% on. I hope, mileage will definitely increase after the second service(oil change) to 19Kmpl overall. A smart air purifier with perfume diffuser is an added advantage. AC is powerful and works fantastically. In my opinion, At present, there is no competitor for Seltos, when it comes to the overall package."," Dec 01, 2019 ",By Sonu Sidhu,5.0,https://www.cardekho.com/user-review/kia-seltos/best-ride-95216.htm
"Its a good car.
Its a nice car with great features, amazing headlight, suspension, nice pick-up."," Dec 01, 2019 ",By Aditya Agarwal,5.0,https://www.cardekho.com/user-review/kia-seltos/its-a-good-car-95165.htm
"Amazing it is.
I am feeling great with this car. It has a quite good handling, nice road grip, great stability, also great acceleration, and engine noise is quite low. Talking about interiors it's just wow. Lots of space, comfortable to sit, and love the driver's electronic adjustment. Don't have words about ventilated seats, and infotainment touch is a superb th...Read More"," Dec 02, 2019 ",By Funny Videos,5.0,https://www.cardekho.com/user-review/kia-seltos/amazing-it-is-95250.htm
"Perfect one.
Great car with looks, mileage, power, comfort, and ultimate driving pleasure. All in all an absolute value for money car."," Dec 02, 2019 ",By Shashank,5.0,https://www.cardekho.com/user-review/kia-seltos/perfect-one-95251.htm
