ReviewText,ReviewDate,ReviewAuthor,ReviewStarRating,Review Link
"Awesome car.
What a smooth and powerful car. Great looks and fuel-efficient. Value for money and highly recommended."," Dec 03, 2019 ",By Ammar Chichi,5.0,https://www.cardekho.com/user-review/mg-hector/awesome-car-95368.htm
"Perfect SUV.
Surely we can say it is a perfect fully loaded SUV model, well done by MG, Hector is stepping stone of our future cars."," Nov 30, 2019 ",By Sai Charan Mahamkali,5.0,https://www.cardekho.com/user-review/mg-hector/perfect-suv-95058.htm
"Fantastic car
Fantastic car, great pick-up, comfortable seats. Controlling system is excellent, smooth to drive."," Nov 30, 2019 ",By User,4.5,https://www.cardekho.com/user-review/mg-hector/fantastic-car-95074.htm
"Best car of the world.
Best in the segment. Better from the Fortuner and Endeavor. The voice control smart technology, I couldn't find it anywhere."," Dec 01, 2019 ",By Kuldeep Yadav,5.0,https://www.cardekho.com/user-review/mg-hector/best-car-of-the-world-95173.htm
"The best car ever saw. Amazing driving experience and handling quality. The better interior can be made by making it airy, you can go for it if you have a family then go for it."," Dec 01, 2019 ",By Dr Dilip,5.0,https://www.cardekho.com/user-review/mg-hector/best-car-for-family-95156.htm
"Amazing performance.
Best car and interior so far. Lovely design and quality are superb."," Nov 30, 2019 ",By Shakir Shaikh,5.0,https://www.cardekho.com/user-review/mg-hector/amazing-performance-95083.htm
"Superb car.
Very affordable range and super high-quality car. Very comfortable seating and quite silent. The A.C. system and circulation are pretty good."," Nov 30, 2019 ",By Souvik Majumder,5.0,https://www.cardekho.com/user-review/mg-hector/superb-car-95059.htm
"Superb car.
Superb interior and custom design. Awesomely running and very comfortable."," Dec 02, 2019 ",By Paytm Axis,5.0,https://www.cardekho.com/user-review/mg-hector/superb-car-95267.htm
"The silent monster.
This car is giving a lot of features, function, and comfort to the passengers. It has a true feel of an SUV."," Dec 01, 2019 ",By Taif Arif,5.0,https://www.cardekho.com/user-review/mg-hector/the-silent-monster-95210.htm
It is better than Kia Seltos and the price is also good. The best car in the segment which gives you many features. If you want to open sunroof yon can simply say I am feeling hot or you can say anything to it.," Dec 01, 2019 ",By Vansh Jiwanani,5.0,https://www.cardekho.com/user-review/mg-hector/the-best-car-in-the-segment-95136.htm
"People say that the electronics won't work out in India but MG has proved almost everyone wrong. Speaking of electronics, the car is fully loaded with advanced technology and none of them feels like it's overdone. My second point is the mileage, Hector is an SUV but still offers great mileage of around 16kmpl. The dimensions of the car are humungous. In terms of comfort, the car can beat any of its rivals and is also prepared to compete with upper-class SUVs like Fortuner, Endeavour, etc. I recently went on a road trip in my hector and the ride quality was amazing, the suspensions were pretty soft providing a clean ride. Though the car is pretty huge, it is easily drivable in the city without any problem. I've heard it is also called the internet car due to the presence of a massive touch screen system with a pretty clear voice assistant. It manages to recognize the Indian accent as well. The pricing of the car is pretty neat and is the best car in the segment."," Nov 28, 2019 ",By Ritesh Gourav,2.0,https://www.cardekho.com/user-review/mg-hector/amazing-machine-94866.htm
